campaign_id,name,channel,type,status,cost,start_date,end_date,created_at
1,Paid Search - Event Promotion - Q4 2022,Paid Search,Event Promotion,Paused,54507,2022-10-07,2022-12-18,2022-09-23T00:00:00
2,Organic Search - Brand Awareness - Q4 2021,Organic Search,Brand Awareness,Completed,2955,2021-12-20,2022-02-19,2021-12-09T00:00:00
3,Webinar - Thought Leadership - Q2 2024,Webinar,Thought Leadership,Active,26974,2024-04-25,2024-07-11,2024-04-19T00:00:00
4,Webinar - Demand Gen - Q2 2024,Webinar,Demand Gen,Paused,11743,2024-06-28,2024-10-12,2024-06-18T00:00:00
5,FY2023 Brand Awareness - Organic Search,Organic Search,Brand Awareness,Active,2514,2023-05-23,2023-06-14,2023-05-10T00:00:00
6,Email - Brand Awareness - Q4 2023,Email,Brand Awareness,Completed,8334,2023-12-31,2024-04-28,2023-12-24T00:00:00
7,Demand Gen Campaign - Webinar,Webinar,Demand Gen,Completed,26722,2021-03-11,2021-04-04,2021-03-03T00:00:00
8,FY2020 Event Promotion - Direct Mail,Direct Mail,Event Promotion,Paused,28033,2020-06-24,2020-08-20,2020-06-15T00:00:00
9,Paid Search - Brand Awareness - Q3 2022,Paid Search,Brand Awareness,Active,-53658,2022-09-30,2022-10-10,2022-09-19T00:00:00
10,FY2021 Event Promotion - Event,Event,Event Promotion,Active,199600,2021-01-11,2021-02-03,2021-01-03T00:00:00
11,Thought Leadership Campaign - Direct Mail,Direct Mail,Thought Leadership,Completed,7053,2023-06-01,2023-06-13,2023-05-27T00:00:00
12,FY2021 Product Launch - Content Syndication,Content Syndication,Product Launch,Completed,12975,2021-07-09,2021-10-06,2021-06-27T00:00:00
13,Demand Gen Campaign - Organic Search,Organic Search,Demand Gen,Completed,1939,2024-05-07,2024-08-09,2024-05-03T00:00:00
14,Nurture Campaign - Direct Mail,Direct Mail,Nurture,Active,31233,2024-08-01,2024-11-09,2024-07-30T00:00:00
15,Event - Thought Leadership - Q1 2022,Event,Thought Leadership,Completed,50826,2022-03-08,2022-06-27,2022-02-22T00:00:00
16,FY2021 Nurture - Email,Email,Nurture,Completed,,2021-11-18,2021-11-27,2021-11-06T00:00:00
17,FY2020 Demand Gen - Partner,Partner,Demand Gen,Completed,-11180,2020-11-16,2021-01-17,2020-11-06T00:00:00
18,Content Syndication - Thought Leadership - Q2 2024,Content Syndication,Thought Leadership,Completed,32484,2024-06-25,2024-07-22,2024-06-22T00:00:00
19,ABM Campaign - Direct Mail,Direct Mail,ABM,Paused,24311,2024-01-30,2024-04-22,2024-01-28T00:00:00
20,FY2023 Brand Awareness - Event,Event,Brand Awareness,Active,36605,2023-11-11,2023-12-04,2023-10-31T00:00:00
21,Paid Social - Event Promotion - Q3 2024,Paid Social,Event Promotion,Draft,88087,2024-08-23,2024-09-22,2024-08-22T00:00:00
22,Nurture Campaign - Organic Search,Organic Search,Nurture,Completed,2289,2023-10-13,2023-12-06,2023-10-06T00:00:00
23,Brand Awareness Campaign - Partner,Partner,Brand Awareness,Completed,1023,2021-05-05,2021-08-04,2021-04-26T00:00:00
24,FY2024 Brand Awareness - Content Syndication,Content Syndication,Brand Awareness,Completed,37158,2024-11-30,2025-03-20,2024-11-18T00:00:00
25,Referral - Event Promotion - Q3 2022,Referral,Event Promotion,Active,11700,2022-07-21,2022-07-28,2022-07-12T00:00:00
26,Content Syndication - Brand Awareness - Q2 2020,Content Syndication,Brand Awareness,Completed,25285,2020-06-14,2020-08-01,2020-06-13T00:00:00
27,FY2020 ABM - Webinar,Webinar,ABM,Completed,7074,2020-12-14,2021-02-01,2020-12-02T00:00:00
28,FY2024 Nurture - Paid Search,Paid Search,Nurture,Draft,75425,2024-12-29,2025-02-05,2024-12-26T00:00:00
29,Content Syndication - ABM - Q1 2022,Content Syndication,ABM,Active,,2022-03-16,2022-06-30,2022-03-09T00:00:00
30,FY2023 Product Launch - Webinar,Webinar,Product Launch,Active,17550,2023-09-14,2023-12-10,2023-09-04T00:00:00
31,Webinar - Demand Gen - Q3 2022,Webinar,Demand Gen,Paused,24156,2022-08-24,2022-10-11,2022-08-16T00:00:00
32,Demand Gen Campaign - Referral,Referral,Demand Gen,Completed,1190,2024-07-20,2024-08-05,2024-07-16T00:00:00
33,Nurture Campaign - Email,Email,Nurture,Completed,10456,2020-08-27,2020-12-01,2020-08-24T00:00:00
34,Organic Search - Nurture - Q3 2021,Organic Search,Nurture,Active,6033,2021-08-16,2021-11-27,2021-08-10T00:00:00
35,Content Syndication - Event Promotion - Q2 2024,Content Syndication,Event Promotion,Completed,19462,2024-06-07,2024-07-13,2024-06-06T00:00:00
36,FY2020 Brand Awareness - Paid Search,Paid Search,Brand Awareness,Completed,94720,2020-01-08,2020-03-18,2019-12-25T00:00:00
37,Product Launch Campaign - Email,Email,Product Launch,Completed,3850,2024-10-25,2025-01-11,2024-10-20T00:00:00
38,FY2024 Demand Gen - Partner,Partner,Demand Gen,Active,2022,2024-06-05,2024-06-28,2024-05-30T00:00:00
39,FY2022 Product Launch - Partner,Partner,Product Launch,Completed,7214,2022-11-06,2022-11-19,2022-11-04T00:00:00
40,FY2022 ABM - Referral,Referral,ABM,Active,,2022-03-27,2022-05-04,2022-03-14T00:00:00
41,Direct Mail - Event Promotion - Q1 2021,Direct Mail,Event Promotion,Completed,34117,2021-02-17,2021-05-12,2021-02-13T00:00:00
42,Event Promotion Campaign - Webinar,Webinar,Event Promotion,Completed,19713,2023-10-06,2023-12-28,2023-10-01T00:00:00
43,FY2024 Brand Awareness - Referral,Referral,Brand Awareness,Completed,2483,2024-02-15,2024-04-15,2024-02-09T00:00:00
44,Product Launch Campaign - Paid Social,Paid Social,Product Launch,Active,66251,2022-12-02,2023-02-14,2022-11-22T00:00:00
